Date,Open,High,Low,Close
20160104,22.48,23.36,20.67,20.7
20160105,20.75,21.06,19.25,19.34
20160106,21.67,21.86,19.8,20.59
20160107,23.22,25.86,22.4,24.99
20160108,22.96,27.08,22.48,27.01
20160111,25.58,27.39,23.83,24.3
20160112,22.97,23.93,21.91,22.47
20160113,21.72,26.11,21.44,25.22
20160114,24.75,26.28,23.07,23.95
20160115,28.96,30.95,26.67,27.02
20160118,28.96,30.95,26.67,27.02
20160119,25.4,27.59,25.21,26.05
20160120,27.78,32.09,26.59,27.59
20160121,27.79,28.43,25.01,26.69
20160122,24.21,24.55,22.22,22.34
20160125,23.3,24.31,22.38,24.15
20160126,23.75,24.02,22.33,22.5
20160127,22.88,27.22,20.42,23.11
20160128,22.15,23.81,21.9,22.42
20160129,21.59,21.74,19.5,20.2
20160201,21.32,23.66,19.61,19.98
20160202,21.34,22.42,21.06,21.98
20160203,21.49,27.7,21.42,21.65
20160204,22.29,23.14,21.24,21.84
20160205,22.09,24.11,21.91,23.38
20160208,25.89,27.72,25.56,26.0
20160209,28.3,28.31,25.99,26.54
20160210,25.75,26.6,24.47,26.29
20160211,29.01,30.9,26.67,28.14
20160212,27.16,27.57,24.92,25.4
20160215,27.16,27.57,24.92,25.4
20160216,24.96,25.52,23.32,24.11
20160217,23.4,24.16,21.83,22.31
20160218,22.16,22.53,21.29,21.64
20160219,22.39,23.44,20.52,20.53
20160222,20.14,20.35,19.02,19.38
20160223,19.75,21.16,19.54,20.98
20160224,22.28,22.87,20.26,20.72
20160225,20.54,21.26,19.1,19.11
20160226,18.89,20.13,18.46,19.81
20160229,20.49,20.81,18.38,20.55
20160301,19.84,20.17,17.66,17.7
20160302,17.98,18.41,16.78,17.09
20160303,17.25,17.56,16.32,16.7
20160304,16.48,17.35,16.05,16.86
20160307,17.98,18.04,16.87,17.35
20160308,18.38,18.89,17.82,18.67
20160309,18.56,19.11,18.31,18.34
20160310,18.17,19.59,17.06,18.05
20160311,17.09,17.27,16.28,16.5
20160314,17.01,17.67,16.69,16.92
20160315,17.6,17.85,16.84,16.84
20160316,15.96,16.33,14.89,14.99
20160317,15.34,15.38,13.82,14.44
20160318,14.05,14.36,13.75,14.02
20160321,14.57,14.73,13.79,13.79
20160322,14.57,14.76,13.75,14.17
20160323,14.57,15.03,14.33,14.94
20160324,16.3,16.44,14.71,14.74
20160325,16.3,16.44,14.71,14.74
20160328,15.65,16.04,14.89,15.24
20160329,15.74,15.89,13.79,13.82
20160330,13.69,13.89,13.06,13.56
20160331,13.73,14.28,13.49,13.95
20160401,15.23,15.28,13.0,13.1
20160404,13.88,14.24,13.66,14.12
20160405,15.39,15.72,14.93,15.42
20160406,15.61,15.98,14.0,14.09
20160407,15.14,16.77,14.68,16.16
20160408,15.34,15.93,14.84,15.36
20160411,15.34,16.26,14.83,16.26
20160412,15.98,16.57,14.84,14.85
20160413,14.49,14.53,13.6,13.84
20160414,13.9,14.12,13.38,13.72
20160415,13.77,14.19,13.58,13.62
20160418,14.87,14.94,13.23,13.35
20160419,13.18,13.88,12.98,13.24
20160420,13.39,13.5,12.5,13.28
20160421,13.2,14.14,13.16,13.95
20160422,13.7,14.19,13.15,13.22
20160425,14.07,14.76,13.86,14.08
20160426,14.01,14.43,13.66,13.96
20160427,14.15,14.95,13.5,13.77
20160428,14.53,15.61,13.3,15.22
20160429,15.21,17.09,14.91,15.7
20160502,16.33,16.5,14.48,14.68
20160503,14.92,16.42,14.91,15.6
20160504,15.47,16.85,15.39,16.05
20160505,15.54,16.45,15.22,15.91
20160506,16.2,16.58,14.71,14.72
20160509,15.2,15.39,14.17,14.57
20160510,13.98,14.35,13.55,13.63
20160511,13.92,14.69,13.29,14.69
20160512,14.55,15.42,13.95,14.41
20160513,15.15,15.47,13.97,15.04
20160516,15.72,15.98,14.28,14.68
20160517,14.57,16.12,14.48,15.57
20160518,15.72,16.47,14.86,15.95
20160519,16.37,17.65,16.28,16.33
20160520,16.13,16.3,15.11,15.2
20160523,16.33,16.47,15.4,15.82
20160524,16.03,16.06,14.36,14.42
20160525,14.19,14.33,13.64,13.9
20160526,13.8,14.11,13.43,13.43
20160527,13.49,13.76,13.04,13.12
20160530,13.49,13.76,13.04,13.12
20160531,13.94,15.0,13.45,14.19
20160601,14.45,15.25,14.18,14.2
20160602,14.42,14.92,13.62,13.63
20160603,13.78,14.66,12.9,13.47
20160606,13.84,14.27,13.42,13.65
20160607,12.77,14.05,12.72,14.05
20160608,13.84,14.27,13.7,14.08
20160609,14.01,14.85,13.99,14.64
20160610,14.89,17.33,14.85,17.03
20160613,18.24,21.01,17.89,20.97
20160614,21.28,22.16,20.27,20.5
20160615,20.25,20.45,18.63,20.14
20160616,20.8,22.89,19.24,19.37
20160617,19.42,20.03,18.71,19.41
20160620,17.42,18.55,16.59,18.37
20160621,17.67,18.96,16.91,18.48
20160622,18.26,21.22,17.83,21.17
20160623,19.54,19.79,17.25,17.25
20160624,26.06,26.24,19.48,25.76
20160627,24.38,26.72,22.93,23.85
20160628,21.76,22.07,18.75,18.75
20160629,18.12,18.27,16.48,16.64
20160630,16.91,16.99,15.29,15.63
20160701,15.59,15.86,14.61,14.77
